INFO--autoreload--2021-08-10 14:27:25,795 13972 7460--Watching for file changes with StatReloader
DEBUG--autoreload--2021-08-10 14:27:25,797 13972 7460--Waiting for apps ready_event.
DEBUG--autoreload--2021-08-10 14:27:28,342 13972 7460--Apps ready_event triggered. Sending autoreload_started signal.
DEBUG--autoreload--2021-08-10 14:27:28,363 13972 7460--Watching dir C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG--autoreload--2021-08-10 14:27:28,364 13972 7460--Watching dir C:\Users\MEHBOOB\Desktop\KeycloakAPI\project05\locale with glob **/*.mo.
DEBUG--autoreload--2021-08-10 14:27:28,364 13972 7460--Watching dir C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG--autoreload--2021-08-10 14:27:28,365 13972 7460--Watching dir C:\Users\MEHBOOB\Desktop\KeycloakAPI\project05\api\locale with glob **/*.mo.
DEBUG--utils--2021-08-10 14:27:28,466 13972 16120--(0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG--utils--2021-08-10 14:27:28,476 13972 16120--(0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG--autoreload--2021-08-10 14:27:28,852 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1627439806.5108047
DEBUG--autoreload--2021-08-10 14:27:28,853 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\yaml\error.py first seen with mtime 1622447241.286139
DEBUG--autoreload--2021-08-10 14:27:28,853 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\jinja2\__init__.py first seen with mtime 1622455775.6429782
DEBUG--autoreload--2021-08-10 14:27:28,853 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1627439805.8371613
DEBUG--autoreload--2021-08-10 14:27:28,854 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1627439806.1965282
DEBUG--autoreload--2021-08-10 14:27:28,854 13972 7460--File C:\Users\MEHBOOB\AppData\Roaming\Python\Python39\site-packages\colorama\__init__.py first seen with mtime 1606625314.7789388
DEBUG--autoreload--2021-08-10 14:27:28,854 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\utils\version.py first seen with mtime 1627439806.6357994
DEBUG--autoreload--2021-08-10 14:27:28,854 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\coreschema\__init__.py first seen with mtime 1628067807.0124958
DEBUG--autoreload--2021-08-10 14:27:28,855 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\DLLs\_decimal.pyd first seen with mtime 1620043546.0
DEBUG--autoreload--2021-08-10 14:27:28,855 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\sre_compile.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,855 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\urls\__init__.py first seen with mtime 1627439806.5576768
DEBUG--autoreload--2021-08-10 14:27:28,855 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\asyncio\base_futures.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,856 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\coreschema\schemas.py first seen with mtime 1628067807.0314848
DEBUG--autoreload--2021-08-10 14:27:28,856 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\utils\crypto.py first seen with mtime 1627439806.5733047
DEBUG--autoreload--2021-08-10 14:27:28,856 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\wsgiref\handlers.py first seen with mtime 1620043496.0
DEBUG--autoreload--2021-08-10 14:27:28,857 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1627439795.5146785
DEBUG--autoreload--2021-08-10 14:27:28,857 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\yaml\reader.py first seen with mtime 1622447241.2951384
DEBUG--autoreload--2021-08-10 14:27:28,857 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1627439805.8527863
DEBUG--autoreload--2021-08-10 14:27:28,857 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\mimetypes.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,857 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1627438608.5122993
DEBUG--autoreload--2021-08-10 14:27:28,858 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\enum.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,858 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\chardet\euckrprober.py first seen with mtime 1627878522.87257
DEBUG--autoreload--2021-08-10 14:27:28,858 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\template\engine.py first seen with mtime 1627439806.479557
DEBUG--autoreload--2021-08-10 14:27:28,858 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\jinja2\runtime.py first seen with mtime 1622455775.7245138
DEBUG--autoreload--2021-08-10 14:27:28,859 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\xml\parsers\__init__.py first seen with mtime 1620043496.0
DEBUG--autoreload--2021-08-10 14:27:28,859 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\coreschema\compat.py first seen with mtime 1628067807.0274901
DEBUG--autoreload--2021-08-10 14:27:28,859 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\test\utils.py first seen with mtime 1627439806.5420527
DEBUG--autoreload--2021-08-10 14:27:28,859 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1627439804.7515645
DEBUG--autoreload--2021-08-10 14:27:28,860 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1627439803.2628458
DEBUG--autoreload--2021-08-10 14:27:28,860 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\dis.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,860 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\_compat_pickle.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,860 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\template\backends\base.py first seen with mtime 1627439806.4951804
DEBUG--autoreload--2021-08-10 14:27:28,861 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\psycopg2\_psycopg.cp39-win_amd64.pyd first seen with mtime 1625631823.140256
DEBUG--autoreload--2021-08-10 14:27:28,861 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\urllib3\packages\ssl_match_hostname\__init__.py first seen with mtime 1627878520.800425
DEBUG--autoreload--2021-08-10 14:27:28,861 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\email\policy.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,861 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\psycopg2\__init__.py first seen with mtime 1625631823.099281
DEBUG--autoreload--2021-08-10 14:27:28,862 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\chardet\langgreekmodel.py first seen with mtime 1627878522.9030392
DEBUG--autoreload--2021-08-10 14:27:28,862 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1627439805.8031292
DEBUG--autoreload--2021-08-10 14:27:28,862 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\requests\packages.py first seen with mtime 1628243694.1093028
DEBUG--autoreload--2021-08-10 14:27:28,862 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\templatetags\static.py first seen with mtime 1627439806.526431
DEBUG--autoreload--2021-08-10 14:27:28,863 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\views\debug.py first seen with mtime 1627439806.6670504
DEBUG--autoreload--2021-08-10 14:27:28,863 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1627439804.1920564
DEBUG--autoreload--2021-08-10 14:27:28,863 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\collections\abc.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,863 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\test\html.py first seen with mtime 1627439806.5420527
DEBUG--autoreload--2021-08-10 14:27:28,864 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\http\cookie.py first seen with mtime 1627439806.432681
DEBUG--autoreload--2021-08-10 14:27:28,864 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\test\__init__.py first seen with mtime 1627439806.526431
DEBUG--autoreload--2021-08-10 14:27:28,864 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\yaml\representer.py first seen with mtime 1622447241.2961366
DEBUG--autoreload--2021-08-10 14:27:28,864 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\email\message.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,865 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\linecache.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,865 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\core\wsgi.py first seen with mtime 1627439805.8371067
DEBUG--autoreload--2021-08-10 14:27:28,865 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1627439806.2277758
DEBUG--autoreload--2021-08-10 14:27:28,865 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\urls\conf.py first seen with mtime 1627439806.5576768
DEBUG--autoreload--2021-08-10 14:27:28,865 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\optparse.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,866 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\jinja2\visitor.py first seen with mtime 1622455775.731514
DEBUG--autoreload--2021-08-10 14:27:28,866 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\views\__init__.py first seen with mtime 1627439806.651424
DEBUG--autoreload--2021-08-10 14:27:28,866 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\chardet\mbcsgroupprober.py first seen with mtime 1627878522.912081
DEBUG--autoreload--2021-08-10 14:27:28,866 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\email\mime\multipart.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,867 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\encodings\aliases.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,867 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\textwrap.py first seen with mtime 1620043496.0
DEBUG--autoreload--2021-08-10 14:27:28,867 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\xml\dom\minidom.py first seen with mtime 1620043496.0
DEBUG--autoreload--2021-08-10 14:27:28,867 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\contextvars.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,868 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1622455351.3429153
DEBUG--autoreload--2021-08-10 14:27:28,868 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\docutils\parsers\rst\languages\en.py first seen with mtime 1627462748.91235
DEBUG--autoreload--2021-08-10 14:27:28,868 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\fnmatch.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,868 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1627439806.2277758
DEBUG--autoreload--2021-08-10 14:27:28,869 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1627438608.8115952
DEBUG--autoreload--2021-08-10 14:27:28,869 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1627439806.6826763
DEBUG--autoreload--2021-08-10 14:27:28,869 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\concurrent\futures\thread.py first seen with mtime 1620043494.0
DEBUG--autoreload--2021-08-10 14:27:28,869 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\chardet\eucjpprober.py first seen with mtime 1627878522.8695712
DEBUG--autoreload--2021-08-10 14:27:28,870 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\click\utils.py first seen with mtime 1625631761.826788
DEBUG--autoreload--2021-08-10 14:27:28,870 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\DLLs\_lzma.pyd first seen with mtime 1620043546.0
DEBUG--autoreload--2021-08-10 14:27:28,870 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\DLLs\_uuid.pyd first seen with mtime 1620043544.0
DEBUG--autoreload--2021-08-10 14:27:28,870 13972 7460--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\coreapi\auth.py first seen with mtime 1628067807.4051363
